gene	locus_tag	start	end	length_bp
lysS	BSU_00820	88727	90226	1500
ctsR	BSU_00830	101449	101913	465
mcsA	BSU_00840	101927	102484	558
mcsB	BSU_00850	102484	103575	1092
clpC	BSU_00860	103572	106004	2433
radA	BSU_00870	106096	107472	1377
disA	BSU_00880	107476	108558	1083
yacL	BSU_00890	108674	109774	1101
ispD	BSU_00900	109789	110487	699
ispF	BSU_00910	110480	110956	477
gltX	BSU_00920	111047	112498	1452
cysE	BSU_00930	112800	113453	654
cysS	BSU_00940	113450	114850	1401
mrnC	BSU_00950	114854	115285	432
rlmB	BSU_00960	115269	116018	750
raeA	BSU_00970	116025	116537	513
sigH	BSU_00980	116600	117256	657
rpmGB	BSU_00990	117349	117498	150
secE	BSU_01000	117532	117711	180
nusG	BSU_01010	117890	118423	534
rplK	BSU_01020	118591	119016	426
rplA	BSU_01030	119111	119809	699
rplJ	BSU_01040	120061	120561	501
rplL	BSU_01050	120607	120978	372
rlmG	BSU_01060	121068	121673	606
rpoB	BSU_01070	121919	125500	3582
rpoC	BSU_01080	125562	129161	3600
rulS	BSU_01090	129340	129588	249
rpsL	BSU_01100	129702	130118	417
rpsG	BSU_01110	130160	130630	471
fusA	BSU_01120	130684	132762	2079
tufA	BSU_01130	132882	134072	1191
ybaC	BSU_01140	134171	135127	957
rpsJ	BSU_01150	135364	135672	309
rplC	BSU_01160	135712	136341	630
rplD	BSU_01170	136369	136992	624
rplW	BSU_01180	136992	137279	288
rplB	BSU_01190	137311	138144	834
rpsS	BSU_01200	138202	138480	279
rplV	BSU_01210	138497	138838	342
rpsC	BSU_01220	138842	139498	657
rplP	BSU_01230	139500	139934	435
rpmC	BSU_01240	139924	140124	201
rpsQ	BSU_01250	140147	140410	264
rplNA	BSU_01260	140451	140819	369
rplX	BSU_01270	140857	141168	312
rplE	BSU_01280	141195	141734	540
rpsNA	BSU_01290	141757	141942	186
rpsH	BSU_01300	141974	142372	399
rplF	BSU_01310	142402	142941	540
rplR	BSU_01320	142974	143336	363
rpsE	BSU_01330	143361	143861	501
rpmD	BSU_01340	143875	144054	180
rplO	BSU_01350	144085	144525	441
secY	BSU_01360	144527	145822	1296
adk	BSU_01370	145877	146530	654
mapA	BSU_01380	146527	147273	747
ybzG	BSU_01389	147312	147536	225
infA	BSU_01390	147585	147803	219
rpmJ	BSU_01400	147837	147950	114
rpsM	BSU_01410	147973	148338	366
rpsK	BSU_01420	148359	148754	396
rpoA	BSU_01430	148931	149875	945
rplQ	BSU_01440	149953	150315	363
ecfA	BSU_01450	150443	151288	846
ecfAB	BSU_01460	151303	152133	831
ecfT	BSU_01470	152130	152927	798
truA	BSU_01480	152937	153680	744
rplM	BSU_01490	153842	154279	438
rpsI	BSU_01500	154300	154692	393
ybaJ	BSU_01510	155156	155923	768
ybaK	BSU_01520	156109	156552	444
cwlD	BSU_01530	156612	157325	714
salA	BSU_01540	157421	158479	1059
gerD	BSU_01550	158515	159072	558
kbaA	BSU_01560	159182	159778	597
pdaB	BSU_01570	159779	160543	765
ybaR	BSU_01580	177083	178519	1437
ybaS	BSU_01590	178665	179585	921
eesA	BSU_01600	179595	180347	753
feuC	BSU_01610	180344	181354	1011
feuB	BSU_01620	181347	182351	1005
feuA	BSU_01630	182370	183323	954
btr	BSU_01640	183414	185003	1590
ybbC	BSU_01650	185194	186438	1245
nagZ	BSU_01660	186452	188380	1929
amiE	BSU_01670	188408	189733	1326
murP	BSU_01680	189790	191157	1368
murR	BSU_01690	191183	192034	852
murQ	BSU_01700	192051	192965	915
ybbJ	BSU_01710	193075	193557	483
ybbK	BSU_01720	193570	194025	456
sigW	BSU_01730	194849	195412	564
rsiW	BSU_01740	195426	196052	627
cdaA	BSU_01750	196213	197034	822
cdaR	BSU_01760	197027	198478	1452
glmM	BSU_01770	198497	199843	1347
glmS	BSU_01780	200277	202079	1803
ybbU	BSU_01790	202126	202266	141
alkA	BSU_01800	202547	203458	912
adaA	BSU_01810	203729	204364	636
adaB	BSU_01820	204351	204890	540
ndhF	BSU_01830	205409	206926	1518
ybcC	BSU_01845	206941	209556	2616
ybcF	BSU_01860	209633	210160	528
ybcH	BSU_01870	210224	210514	291
ybcI	BSU_01880	210572	210946	375
ybzH	BSU_01889	211429	211731	303
ybcL	BSU_01890	211859	213031	1173
ybcM	BSU_01900	213155	213469	315
skfA	BSU_01910	213941	214108	168
skfB	BSU_01920	214175	215407	1233
skfC	BSU_01935	215404	216894	1491
skfE	BSU_01950	216913	217632	720
skfF	BSU_01960	217697	219040	1344
skfG	BSU_01970	219087	219602	516
skfH	BSU_01980	219607	220032	426
ybdG	BSU_01990	220279	221256	978
ybdJ	BSU_02000	221258	221929	672
ybdK	BSU_02010	221950	222912	963
ybzI	BSU_02019	222971	223234	264
ybdM	BSU_02030	223219	223989	771
ybdN	BSU_02040	224075	224932	858
ybdO	BSU_02050	225064	226248	1185
ybxG	BSU_02060	226566	227954	1389
csgA	BSU_02070	228066	228314	249
ybxH	BSU_02080	228331	228522	192
ybxI	BSU_02090	228549	229352	804
cypC	BSU_02100	229525	230778	1254
ybyB	BSU_02110	230819	231079	261
ybeC	BSU_02120	231348	232967	1620
glpQA	BSU_02130	233014	233895	882
glpT	BSU_02140	233994	235328	1335
ybeF	BSU_02150	235625	235873	249
ybfA	BSU_02160	235965	236882	918
ybfB	BSU_02170	236879	238129	1251
ybfF	BSU_02190	238644	239555	912
ybfG	BSU_02200	239644	241842	2199
ybfH	BSU_02210	241917	242837	921
ybfI	BSU_02220	242834	243661	828
purT	BSU_02230	243892	245046	1155
mpr	BSU_02240	245190	246131	942
ybfJ	BSU_02250	246094	246492	399
cesB	BSU_02260	246658	247548	891
pssA	BSU_02270	247744	248277	534
ybfM	BSU_02280	248268	248756	489
psd	BSU_02290	248749	249540	792
ybfN	BSU_02300	249595	249873	279
ybfO	BSU_02310	249979	251319	1341
ybfP	BSU_02320	251427	252314	888
ybfQ	BSU_02330	252514	253482	969
gltP	BSU_02340	253518	254762	1245
gamP	BSU_02350	254907	256802	1896
gamA	BSU_02360	256823	257572	750
gamR	BSU_02370	257791	258498	708
ybgB	BSU_02380	258532	258807	276
ilvE	BSU_02390	259016	260086	1071
ybgF	BSU_02400	260123	261535	1413
ybgG	BSU_02410	261656	262603	948
glnT	BSU_02420	262732	264168	1437
glsA	BSU_02430	264191	265174	984
glnJ	BSU_02440	265476	266708	1233
glnL	BSU_02450	266719	267663	945
kdgD	BSU_02460	267890	268816	927
gucD	BSU_02470	268846	270312	1467
gudP	BSU_02480	270396	271763	1368
gudD	BSU_02490	271800	273167	1368
garR	BSU_02500	273237	273938	702
garD	BSU_02510	274029	275561	1533
ycbJ	BSU_02520	275838	276758	921
rtpA	BSU_02530	277160	277321	162
ycbK	BSU_02540	277342	278280	939
ycbL	BSU_02550	278377	279057	681
ycbM	BSU_02560	279059	279994	936
ycbN	BSU_02570	280086	281009	924
ycbO	BSU_02580	281028	281714	687
ycbP	BSU_02590	281769	282155	387
cwlJ	BSU_02600	282469	282897	429
ycbR	BSU_02610	283003	283734	732
yczK	BSU_02619	283816	283992	177
phoD	BSU_02620	284011	285762	1752
tatAD	BSU_02630	285775	285987	213
tatCD	BSU_02640	286048	286776	729
pcp	BSU_02650	286773	287420	648
ycbU	BSU_02660	287499	288611	1113
lmrB	BSU_02670	288653	290092	1440
lmrA	BSU_02680	290132	290698	567
ansZ	BSU_02690	290915	292042	1128
estA	BSU_02700	292205	292843	639
yczC	BSU_02710	292881	293264	384
yccF	BSU_02720	293499	294575	1077
natK	BSU_02730	294615	295571	957
natR	BSU_02740	295584	296285	702
natA	BSU_02750	296429	297169	741
natB	BSU_02760	297170	298330	1161
yccK	BSU_02770	298466	299398	933
ycdA	BSU_02780	299438	300502	1065
ycdB	BSU_02790	300830	302248	1419
ycdC	BSU_02800	302435	303796	1362
cwlK	BSU_02810	303804	304307	504
rapJ	BSU_02820	304430	305551	1122
ycdF	BSU_02830	305658	306434	777
ycdG	BSU_02840	306459	308144	1686
znuA	BSU_02850	308332	309291	960
znuC	BSU_02860	309347	310042	696
znuB	BSU_02870	310000	310842	843
yceB	BSU_02880	310880	311875	996
yceC	BSU_02890	312159	312758	600
yceD	BSU_02900	312780	313361	582
yceE	BSU_02910	313396	313974	579
yceF	BSU_02920	314025	314798	774
yceG	BSU_02930	314883	316496	1614
yceH	BSU_02940	316512	317603	1092
niaP	BSU_02950	317725	318927	1203
yceJ	BSU_02960	319180	320352	1173
yceK	BSU_02970	320421	320723	303
opuAA	BSU_02980	321013	322269	1257
opuAB	BSU_02990	322271	323119	849
opuAC	BSU_03000	323119	324000	882
amhX	BSU_03010	324038	325189	1152
ycgA	BSU_03020	325339	326772	1434
ycgB	BSU_03030	326888	327469	582
amyE	BSU_03040	327618	329597	1980
lctE	BSU_03050	329774	330739	966
lctP	BSU_03060	330771	332396	1626
mdr	BSU_03070	332441	333979	1539
ycgE	BSU_03080	334092	334556	465
ycgF	BSU_03090	334630	335259	630
ycgG	BSU_03100	335329	336090	762
ycgH	BSU_03110	336092	337432	1341
ycgI	BSU_03120	337562	338158	597
nadE	BSU_03130	338288	339106	819
tmrB	BSU_03140	339156	339749	594
aroK	BSU_03150	340025	340585	561
ycgJ	BSU_03160	340613	341374	762
ycgK	BSU_03170	341492	342466	975
cah	BSU_03180	342538	343494	957
ycgL	BSU_03190	343578	344360	783
putB	BSU_03200	344551	345462	912
putC	BSU_03210	345479	347026	1548
putP	BSU_03220	347150	348571	1422
putR	BSU_03230	348724	349959	1236
ycgQ	BSU_03240	349996	350853	858
ycgR	BSU_03250	350858	351742	885
ycgS	BSU_03260	351842	352696	855
ffoR	BSU_03270	352858	353868	1011
nasF	BSU_03280	353900	355351	1452
nasE	BSU_03290	355412	355732	321
nasD	BSU_03300	355764	358181	2418
nasC	BSU_03310	358303	360435	2133
nasB	BSU_03320	360442	362757	2316
nasA	BSU_03330	362937	364142	1206
folEB	BSU_03340	364259	365173	915
yciB	BSU_03350	365170	365754	585
yczL	BSU_03359	365850	366035	186
zinU	BSU_03360	366063	367256	1194
yckA	BSU_03370	367305	367985	681
yckB	BSU_03380	367995	368858	864
yckC	BSU_03390	369236	369691	456
yckD	BSU_03400	369773	370105	333
bglC	BSU_03410	370259	371692	1434
nin	BSU_03420	371729	372127	399
nucA	BSU_03430	372154	372603	450
tlpC	BSU_03440	372771	374492	1722
hxlB	BSU_03450	374603	375160	558
hxlA	BSU_03460	375166	375798	633
hxlR	BSU_03470	376032	376394	363
srfAA	BSU_03480	376968	387731	10764
srfAB	BSU_03490	387744	398495	10752
comS	BSU_03500	390880	391020	141
srfAC	BSU_03510	398532	402359	3828
srfAD	BSU_03520	402388	403116	729
srfT	BSU_03530	403217	404443	1227
ycxB	BSU_03540	404458	405015	558
ycxC	BSU_03550	405069	406007	939
ycxD	BSU_03560	406131	407465	1335
yczE	BSU_03580	408240	408887	648
tcyC	BSU_03590	409208	409951	744
tcyB	BSU_03600	409965	410669	705
tcyA	BSU_03610	410656	411462	807
bsdA	BSU_03620	411578	412450	873
ubiX	BSU_03630	412540	413154	615
bsdC	BSU_03640	413157	414578	1422
bsdD	BSU_03651	414595	414822	228
yclD	BSU_03652	414819	415283	465
yclE	BSU_03660	415350	416195	846
dtpT	BSU_03670	416235	417713	1479
yclG	BSU_03680	417993	419747	1755
yczF	BSU_03690	419763	419984	222
gerKA	BSU_03700	420110	421744	1635
gerKC	BSU_03710	421734	422957	1224
gerKB	BSU_03720	422982	424103	1122
yclH	BSU_03730	424208	424888	681
yclI	BSU_03740	424904	426364	1461
yclJ	BSU_03750	426577	427260	684
yclK	BSU_03760	427247	428668	1422
rapC	BSU_03770	428831	429979	1149
phrC	BSU_03780	429963	430085	123
yczM	BSU_03788	430185	430274	90
yczN	BSU_03789	430356	430469	114
thrD	BSU_03790	430623	431987	1365
pbtN	BSU_03800	432372	433322	951
pbtO	BSU_03810	433315	434262	948
pbtP	BSU_03820	434256	435014	759
pbtQ	BSU_03830	435036	435989	954
ycnB	BSU_03840	436036	437454	1419
ycnC	BSU_03850	437474	438352	879
nfrAB	BSU_03860	438516	439265	750
ycnE	BSU_03870	439282	439569	288
yczG	BSU_03880	439709	440023	315
gabR	BSU_03890	440025	441464	1440
gabT	BSU_03900	441571	442881	1311
gabD	BSU_03910	442950	444338	1389
glcU	BSU_03920	444461	445324	864
gdh	BSU_03930	445344	446129	786
cutI	BSU_03940	446174	446788	615
cutJ	BSU_03950	446801	448426	1626
cutR	BSU_03960	448461	449033	573
ycnL	BSU_03970	449198	449551	354
mtlA	BSU_03981	449724	451160	1437
mtlF	BSU_03982	451185	451616	432
mtlD	BSU_03990	451618	452739	1122
ycsA	BSU_04000	452830	453894	1065
sipU	BSU_04010	454029	454592	564
yczH	BSU_04020	454652	455260	609
ycsD	BSU_04030	455346	455738	393
yczO	BSU_04039	455771	455935	165
ribZ	BSU_04040	456068	456817	750
pxpA	BSU_04050	457023	457796	774
pxpG	BSU_04060	457811	459025	1215
pxpI	BSU_04070	459049	459822	774
pxpB	BSU_04080	459867	460589	723
pxpC	BSU_04090	460592	461599	1008
pxpR	BSU_04100	461615	462367	753
lipC	BSU_04110	462431	463072	642
yczI	BSU_04120	463245	463490	246
yczJ	BSU_04130	463496	463783	288
pbpC	BSU_04140	463934	465940	2007
ycsN	BSU_04150	466042	466944	903
mtlR	BSU_04160	467130	469214	2085
ydaB	BSU_04170	469426	470937	1512
ydaC	BSU_04180	470957	471502	546
ydaD	BSU_04190	471709	472569	861
lyxE	BSU_04200	472585	473088	504
ydaF	BSU_04210	473174	473725	552
ydaG	BSU_04220	473803	474225	423
amj	BSU_04230	474731	475540	810
ydzA	BSU_04240	475584	475874	291
lrpC	BSU_04250	476059	476493	435
topB	BSU_04260	476558	478741	2184
epsJ	BSU_04270	478944	480032	1089
epsK	BSU_04280	480013	480864	852
ydaL	BSU_04290	480875	482584	1710
ydaM	BSU_04300	482577	483839	1263
ydaN	BSU_04310	483845	485956	2112
kimA	BSU_04320	486432	488255	1824
nudT	BSU_04330	488314	488763	450
poxB	BSU_04340	488830	490554	1725
ydzK	BSU_04359	490777	491043	267
mntH	BSU_04360	491147	492424	1278
ydaS	BSU_04370	492654	492911	258
ydaT	BSU_04380	492989	493441	453
ydbA	BSU_04390	493559	494377	819
gsiB	BSU_04400	494506	494877	372
ydbB	BSU_04410	495009	495350	342
ydbC	BSU_04420	495344	495703	360
ydbD	BSU_04430	495740	496561	822
dctB	BSU_04440	496646	497698	1053
dctS	BSU_04450	497768	499375	1608
dctR	BSU_04460	499365	500045	681
dctP	BSU_04470	500166	501431	1266
ydbI	BSU_04480	501579	502631	1053
ydbJ	BSU_04490	502908	503834	927
ydbK	BSU_04500	503854	504594	741
ydbL	BSU_04510	504689	505024	336
ydbM	BSU_04520	505152	506297	1146
fbpB	BSU_04530	506322	506501	180
fbpA	BSU_04536	506455	506619	165
ydbO	BSU_04540	506866	507738	873
ydbP	BSU_04550	507753	508073	321
ddlA	BSU_04560	508248	509312	1065
murF	BSU_04570	509384	510757	1374
cshA	BSU_04580	511157	512641	1485
ydbS	BSU_04590	512814	513293	480
ydbT	BSU_04600	513283	514764	1482
ydcA	BSU_04610	515016	515615	600
acpS	BSU_04620	515710	516075	366
ydcC	BSU_04630	516241	517257	1017
alrA	BSU_04640	517372	518541	1170
ndoAI	BSU_04650	518657	518938	282
ndoA	BSU_04660	518943	519293	351
rsbRA	BSU_04670	519408	520232	825
rsbS	BSU_04680	520237	520602	366
rsbT	BSU_04690	520606	521007	402
rsbU	BSU_04700	521019	522026	1008
rsbV	BSU_04710	522088	522417	330
rsbW	BSU_04720	522414	522896	483
sigB	BSU_04730	522862	523650	789
rsbX	BSU_04740	523650	524249	600
ydcF	BSU_04750	524492	524785	294
ydcG	BSU_04760	524782	525222	441
ydcH	BSU_04770	525206	525649	444
tex	BSU_04780	525743	527902	2160
cmpA	BSU_04785	527912	528025	114
ydcK	BSU_04790	528129	528581	453
ydcL	BSU_04800	529505	530611	1107
immA	BSU_04810	530624	531133	510
immR	BSU_04820	531130	531513	384
xis	BSU_04830	531787	531981	195
ydzL	BSU_04839	531978	532238	261
ydcO	BSU_04840	532292	532552	261
helP	BSU_04850	532922	533302	381
conQ	BSU_04860	533338	534780	1443
nicK	BSU_04870	534773	535831	1059
ydcS	BSU_04880	536096	536365	270
ydcT	BSU_04890	536404	536670	267
yddA	BSU_04900	536687	536995	309
conB	BSU_04910	536985	538049	1065
conC	BSU_04920	538061	538309	249
conD	BSU_04930	538322	538846	525
conE	BSU_04940	538734	541229	2496
yddF	BSU_04950	541248	541574	327
conG	BSU_04960	541578	544025	2448
cwlT	BSU_04970	544022	545011	990
yddI	BSU_04980	545026	545532	507
yddJ	BSU_04990	545595	545975	381
yddK	BSU_05000	546166	546966	801
rapI	BSU_05010	547306	548481	1176
phrI	BSU_05020	548438	548557	120
yddM	BSU_05030	548710	549651	942
yddN	BSU_05040	550240	551259	1020
lrpA	BSU_05050	551519	551929	411
lrpB	BSU_05060	552052	552501	450
yddQ	BSU_05070	552616	553158	543
yddR	BSU_05080	553711	554475	765
yddS	BSU_05090	554669	555979	1311
ydzM	BSU_05099	556562	556738	177
yddT	BSU_05100	556763	557449	687
ydzN	BSU_05109	557873	558058	186
sufLC	BSU_05110	558408	559001	594
cspC	BSU_05120	559264	559464	201
cdnL	BSU_05130	560151	560612	462
ydzE	BSU_05140	561180	561416	237
ydeC	BSU_05150	561514	562389	876
ydeD	BSU_05160	562502	563461	960
ydeE	BSU_05170	563614	564486	873
ydeF	BSU_05180	564713	566101	1389
ydeG	BSU_05190	566211	567503	1293
ydeH	BSU_05200	567662	568108	447
ydeI	BSU_05210	568345	568938	594
ydeJ	BSU_05220	569290	569949	660
ydeK	BSU_05230	570371	571234	864
ydeL	BSU_05240	571389	572780	1392
ydeM	BSU_05250	572974	573399	426
ydeN	BSU_05260	573452	574024	573
ydzF	BSU_05270	574106	574435	330
ydeO	BSU_05280	574690	575562	873
ydeP	BSU_05290	575712	576098	387
ydeQ	BSU_05300	576209	576802	594
ydeR	BSU_05310	576946	578133	1188
ydeS	BSU_05320	578337	578933	597
ydzO	BSU_05329	579047	579232	186
aseR	BSU_05330	579541	579876	336
arsF	BSU_05340	579889	581196	1308
ydfB	BSU_05350	581694	582479	786
ydfC	BSU_05360	582536	583456	921
ydfD	BSU_05370	583589	585037	1449
ydfE	BSU_05380	585155	585778	624
ydfF	BSU_05390	585868	586548	681
ydfG	BSU_05400	586628	587071	444
ydzP	BSU_05408	587157	587336	180
ydzQ	BSU_05409	587333	587476	144
ydfH	BSU_05410	587744	588967	1224
ydfI	BSU_05420	588960	589601	642
ydfJ	BSU_05430	589717	591891	2175
cesA	BSU_05440	592303	593205	903
ydfK	BSU_05450	593407	594096	690
ydfL	BSU_05460	594186	594998	813
mneP	BSU_05470	595109	596002	894
ydfN	BSU_05480	596478	597098	621
ydfO	BSU_05490	597114	598052	939
ydfP	BSU_05500	598154	598543	390
ydfQ	BSU_05510	598729	599067	339
ydzH	BSU_05520	599107	599343	237
ydzR	BSU_05529	599875	600105	231
ydfR	BSU_05530	600229	600906	678
ydfS	BSU_05540	601019	601726	708
cotP	BSU_05550	601741	602172	432
ydgA	BSU_05560	602185	602427	243
ydgB	BSU_05570	602441	602713	273
ydgC	BSU_05580	603012	603599	588
ydgD	BSU_05590	603596	603940	345
ydgE	BSU_05600	604103	604576	474
vmlR	BSU_05610	604736	606379	1644
ydgF	BSU_05620	606699	608075	1377
dinB	BSU_05630	608246	608764	519
ydgG	BSU_05640	608933	609391	459
ydgH	BSU_05650	609388	612045	2658
ydgI	BSU_05660	612191	612820	630
ydgJ	BSU_05670	612836	613330	495
ydgK	BSU_05680	613641	614849	1209
ydhB	BSU_05690	614885	615622	738
ydhC	BSU_05700	615871	616545	675
spoL	BSU_05710	616672	617934	1263
ydhE	BSU_05720	618095	619282	1188
ydhF	BSU_05730	619321	620031	711
phoB	BSU_05740	620097	621485	1389
fra	BSU_05750	621847	622218	372
ydhH	BSU_05760	622293	622790	498
ydhI	BSU_05770	622808	623290	483
ydhJ	BSU_05780	623373	624350	978
ydhK	BSU_05790	624492	625109	618
pbuE	BSU_05800	625125	626291	1167
gmuB	BSU_05810	626622	626933	312
gmuA	BSU_05820	626933	627265	333
gmuC	BSU_05830	627284	628612	1329
gmuD	BSU_05840	628630	630027	1398
gmuR	BSU_05850	630170	630883	714
gmuE	BSU_05860	630912	631811	900
gmuF	BSU_05870	631808	632755	948
gmuG	BSU_05880	632774	633862	1089
thiL	BSU_05900	640662	641639	978
tsaE	BSU_05910	641654	642130	477
tsaB	BSU_05920	642111	642800	690
rimI	BSU_05930	642810	643265	456
tsaD	BSU_05940	643258	644298	1041
ydiF	BSU_05950	644528	646456	1929
moaC	BSU_05960	646582	647094	513
rex	BSU_05970	647091	647738	648
tatAY	BSU_05980	647760	647933	174
tatCY	BSU_05990	647940	648704	765
ydiK	BSU_06000	648742	648933	192
ydiL	BSU_06010	648930	649664	735
groES	BSU_06020	649903	650187	285
groEL	BSU_06030	650234	651868	1635
ydiM	BSU_06040	653432	653812	381
ydzU	BSU_06048	654071	654343	273
bsuMA	BSU_06060	655223	656506	1284
bsuMB	BSU_06070	656528	657697	1170
bsuRA	BSU_06090	659623	660564	942
bsuRB	BSU_06100	660596	661627	1032
bsuRC	BSU_06110	661630	663027	1398
ydjB	BSU_06120	663601	663936	336
ydjC	BSU_06130	664319	664669	351
gutR	BSU_06140	664775	667264	2490
gutB	BSU_06150	667466	668527	1062
gutP	BSU_06160	668601	669992	1392
ydjE	BSU_06170	670087	671049	963
pspA	BSU_06180	671245	671928	684
ydjG	BSU_06190	671994	673019	1026
ydjH	BSU_06200	673019	673783	765
ydjI	BSU_06210	673814	674785	972
ydjJ	BSU_06220	674832	675857	1026
iolT	BSU_06230	676442	677863	1422
bdhA	BSU_06240	677911	678951	1041
walM	BSU_06250	679390	679761	372
ydjN	BSU_06260	679827	680873	1047
ydzJ	BSU_06269	680907	681065	159
ydjO	BSU_06270	681255	681464	210
ydjP	BSU_06280	681547	682362	816
yeaA	BSU_06290	682375	683364	990
cotA	BSU_06300	683462	685003	1542
gabP	BSU_06310	685155	686564	1410
ydzX	BSU_06319	686602	686889	288
mneS	BSU_06320	686962	687834	873
yeaC	BSU_06330	688184	689146	963
yeaD	BSU_06340	689146	690342	1197
yebA	BSU_06350	690364	692577	2214
guaA	BSU_06360	692740	694281	1542
pbuG	BSU_06370	694662	695984	1323
yebC	BSU_06380	696195	696998	804
yebD	BSU_06390	697157	697324	168
yebE	BSU_06400	697538	698092	555
yebG	BSU_06410	698092	698289	198
purE	BSU_06420	698612	699100	489
purK	BSU_06430	699093	700235	1143
purB	BSU_06440	700232	701527	1296
purC	BSU_06450	701601	702326	726
purS	BSU_06460	702319	702573	255
purQ	BSU_06470	702570	703253	684
purL	BSU_06480	703237	705465	2229
purF	BSU_06490	705441	706871	1431
purM	BSU_06500	706973	708013	1041
purN	BSU_06510	708010	708597	588
purH	BSU_06520	708594	710132	1539
purD	BSU_06530	710148	711416	1269
yezC	BSU_06540	711456	711875	420
yecA	BSU_06550	712019	713293	1275
yezF	BSU_06559	713308	713535	228
yerA	BSU_06560	713664	715406	1743
yerB	BSU_06570	715433	716428	996
yerC	BSU_06580	716431	716745	315
yerD	BSU_06590	716780	718357	1578
pcrB	BSU_06600	718622	719308	687
pcrA	BSU_06610	719370	721589	2220
ligA	BSU_06620	721613	723619	2007
yerH	BSU_06630	723635	724825	1191
yerI	BSU_06640	724987	725997	1011
sapB	BSU_06650	726035	726733	699
opuE	BSU_06660	726840	728318	1479
gatC	BSU_06670	728732	729022	291
gatA	BSU_06680	729038	730495	1458
gatB	BSU_06690	730509	731939	1431
yerO	BSU_06700	731954	732823	870
srfP	BSU_06710	732955	736113	3159
dagK	BSU_06720	736436	737347	912
rlmCD	BSU_06730	737603	738982	1380
yefB	BSU_06740	738995	739897	903
yefC	BSU_06750	739878	740213	336
yeeA	BSU_06760	740288	742927	2640
yeeB	BSU_06770	742939	744738	1800
yeeC	BSU_06780	744851	745999	1149
yeeD	BSU_06790	746261	746566	306
yezA	BSU_06800	746633	746839	207
yezG	BSU_06811	747079	747534	456
yeeF	BSU_06812	747554	749563	2010
yeeG	BSU_06820	749775	750797	1023
rapH	BSU_06830	750959	752089	1131
phrH	BSU_06839	752079	752252	174
yeeI	BSU_06840	752412	753131	720
cotK	BSU_06850	753265	753702	438
yezE	BSU_06860	753817	754401	585
yesE	BSU_06870	754480	754923	444
